id_hd,xxxx,yyyy,year,Xnorm
metadc277441,3.4301407393313883,1931.7771048460834,1931,73.0
metadc277442,4.439568653697403,1928.808482805582,1928,106.0
metadc277443,4.5695477792817725,1929.9819996443966,1929,30.0
metadc277444,6.261309845553925,1934.6277154588226,1934,9.5
metadc277445,10.29458862881588,1931.9501051121952,1931,106.0
metadc277446,4.180383454311406,1922.529632861001,1922,106.0
metadc277447,1.4711757031309525,1923.9031929232453,1923,37.0
metadc277448,4.461495310249878,1923.584229129597,1923,106.0
metadc277449,6.27907146654827,1932.6507204749466,1932,43.5
metadc277450,8.312972579707138,1930.0559660781169,1930,54.0
metadc277451,3.2056669328988683,1929.1984083706545,1929,65.0
metadc277452,0.4319027093809853,1931.5968782398368,1931,30.0
metadc277453,1.2205366872752972,1930.174399204947,1930,21.5
metadc277454,4.198482117058618,1930.4069875735627,1930,23.333333333333332
metadc277455,7.0614806985611365,1926.2115052271697,1926,42.333333333333336
metadc277456,3.719654647108209,1926.686267945841,1926,97.0
metadc277458,5.188096560064999,1929.8296163609,1929,97.0
metadc277459,4.460432458011376,1927.0535665284306,1927,35.0
metadc277460,7.287472021130568,1932.927595750056,1932,58.0
metadc277462,0.08188646131833828,1924.9563909442224,1924,4.0
metadc277463,7.657912259607869,1929.137708121877,1929,106.0
metadc277464,7.4895856962356335,1923.6328991933985,1923,60.0
metadc277465,9.284419005103901,1929.4052324229367,1929,27.666666666666668
metadc277466,4.543063182210863,1924.9607884500674,1924,60.5
metadc277467,7.308569534873982,1931.4847396015466,1931,82.5
metadc277468,1.685980195596081,1924.0780079637732,1924,40.333333333333336
metadc277469,2.317786539818928,1928.4847534045632,1928,64.0
metadc277470,2.649988615352112,1923.8123997337507,1923,106.0
metadc277471,6.3492042854786135,1929.832675688721,1929,54.0
metadc277472,7.188681172880691,1929.9995892227703,1929,93.5
metadc277473,7.753576070874207,1930.8026690441336,1930,99.0
metadc277474,5.5431680214576975,1922.4924636873093,1922,103.0
metadc277475,4.328010463943187,1925.1950330607349,1925,51.0
metadc277476,7.6383124838089795,1930.9043900579181,1930,50.0
metadc277477,4.279386148280674,1931.1364337624368,1931,88.0
metadc277478,4.377094880961772,1923.2808549802949,1923,11.0
metadc277479,2.3704863703268764,1931.2116920922867,1931,1.5
metadc277481,4.560669731739934,1927.1889722935355,1927,21.0
metadc277482,0.7056510908778415,1924.0698082795066,1924,6.5
metadc277483,9.11216721568252,1925.9396653963613,1925,37.0
metadc277484,3.679623232626875,1925.087179542892,1925,106.0
metadc277485,3.4314268448233216,1923.9167265875808,1923,20.0
metadc277486,7.535348558887371,1930.0095245383252,1930,48.0
metadc277487,2.3516104333100802,1930.101406499766,1930,103.0
metadc277488,8.194198087854943,1930.0901957639585,1930,25.0
metadc277489,9.289307083750098,1924.7362289613395,1924,20.0
metadc277490,0.5631924698799669,1931.8747155284145,1931,65.0
metadc277491,0.26269276402784764,1929.7038771011792,1929,7.666666666666667
metadc277492,4.06332913423612,1952.8147373973497,1952,99.4
metadc277493,2.284998962104255,1929.1027799575704,1929,51.0
metadc277494,3.2070336290595214,1929.8631140392056,1929,20.0
metadc277495,1.4365512248886865,1923.873231623684,1923,55.0
metadc277496,8.745354665750442,1926.120088209848,1926,97.0
metadc277497,0.484434402114997,1931.612941496313,1931,58.0
metadc277498,6.4676117476361,1930.8960837181644,1930,100.0
metadc277499,10.60334494974134,1924.193721210981,1924,24.5
metadc277500,2.463831357728365,1929.2852370821474,1929,51.0
metadc277501,9.482612223255092,1926.2098449965551,1926,42.142857142857146
metadc277502,4.432563403680792,1929.146402037448,1929,53.0
